=== node 192.168.2.61 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
lxc59b3563a5c66: 1769140    6312    0    0    0     0          0         0  1946878   10471    0    0    0     0       0          0
lxcc286f9c6a55c: 12464582    4619    0    0    0     0          0         0 15769789    6937    0    0    0     0       0          0
lxce5e2f34aeab4:   18394     181    0    0    0     0          0         0    24061     216    0    0    0     0       0          0
lxc01bdb3204376:  592064    2057    0    0    0     0          0         0   434527    2224    0    0    0     0       0          0
lxce989bd20c693: 7427263   71862    0    0    0     0          0         0 214359180   69658    0    0    0     0       0          0
lxcf8c1c2b1cb68: 1613498    4331    0    0    0     0          0         0  1858939    4879    0    0    0     0       0          0
lxc0737ac0b92ab:  273626    1150    0    0    0     0          0         0  1022264    1275    0    0    0     0       0          0

=== node 192.168.2.63 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 797443248 1700278    0    0    0     0          0         0 797443248 1700278    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s31f6: 8057197262 6644686    0 1333    0     0          0       487 3588500161 4314608    0    4    0     0       0          0
enp0s31f6.110: 6040860232 1332103    0    0    0     0          0         8 1050031715 1255691    0    0    0     0       0          0
cilium_wg0: 124738216  167646    0    0    0     0          0         0 167325484  195454    0   20    0     0       0          0
cilium_net:    5620      74    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_host:     440       4    0    0    0     0          0         0     5620      74    0    0    0     0       0          0
cilium_vxlan: 107298469  118325    0    0    0     0          0         0 145117653  100071    0    0    0     0       0          0
lxc_health:   19995     264    0    0    0     0          0         0    24734     318    0    0    0     0       0          0
lxcd88afd7b39b8:  703181    5159    0    0    0     0          0         0 23348895    5947    0    0    0     0       0          0
lxc452f0f1b23b7: 1457890    2148    0    0    0     0          0         0   315573    1944    0    0    0     0       0          0
lxc612807dbfb2c: 17195071   14685    0    0    0     0          0         0 27804043   16774    0    0    0     0       0          0
lxcaa6e533e2a06: 4372931   23493    0    0    0     0          0         0 33196072   21437    0    0    0     0       0          0
lxc0ae41f9cf042: 10924937   43709    0    0    0     0          0         0 99008292   46450    0    0    0     0       0          0
lxc99f7fe547f24:   66268     446    0    0    0     0          0         0    88465     316    0    0    0     0       0          0
lxcf4fc9a7942e9: 3992518    9179    0    0    0     0          0         0 18147021    9134    0    0    0     0       0          0
lxc80025bc2b93e:  113413     822    0    0    0     0          0         0   466354     853    0    0    0     0       0          0
lxcd953527bd3a2: 3284041   24924    0    0    0     0          0         0  3068055   22997    0    0    0     0       0          0
lxc6a6fa5ee3e94:   61451     637    0    0    0     0          0         0    63603     728    0    0    0     0       0          0
lxcb4a4b2d0eb25:  346747    1270    0    0    0     0          0         0  4329118    2160    0    0    0     0       0          0
lxc56fbc905554f: 6240138   25221    0    0    0     0          0         0 29481858   24503    0    0    0     0       0          0
lxcccc55a2e761e: 1127687    7722    0    0    0     0          0         0  9801255    8458    0    0    0     0       0          0
lxcccfc30b68055:  375463    1810    0    0    0     0          0         0   386487    1569    0    0    0     0       0          0
lxc2b7a41083a40:   56715     534    0    0    0     0          0         0   236322     598    0    0    0     0       0          0
lxc962f1a028b1c:  936326    1786    0    0    0     0          0         0  9120932    2815    0    0    0     0       0          0
lxcfd29c26e424d:    3312      48    0    0    0     0          0         0     3318      35    0    0    0     0       0          0
lxc3c1a3ef5cae6:   61293     639    0    0    0     0          0         0    62052     706    0    0    0     0       0          0
lxcf0d9b3441d88:  796789    3599    0    0    0     0          0         0  6744230    4369    0    0    0     0       0          0
lxccc9011bd0a7a: 1207821    9690    0    0    0     0          0         0 31786246   11210    0    0    0     0       0          0
lxcc5e56490daf5: 1360962    3390    0    0    0     0          0         0  1886525    3476    0    0    0     0       0          0
lxca865fe743485: 4216138    6398    0    0    0     0          0         0  8028256    7097    0    0    0     0       0          0
lxc1850dd2278d4:   73454    1005    0    0    0     0          0         0     2006      37    0    0    0     0       0          0
lxc5e496e07bbe9: 78353037   15721    0    0    0     0          0         0 33639181   29082    0    0    0     0       0          0
lxc52388ec238f8: 3956013   30486    0    0    0     0          0         0  4549365   28570    0    0    0     0       0          0
lxccf6b0b073efc:    1006      13    0    0    0     0          0         0      746       7    0    0    0     0       0          0
lxca484d36b8540:   73241     649    0    0    0     0          0         0    85485     817    0    0    0     0       0          0
lxc4caa59d9ac20: 37227579   48540    0    0    0     0          0         0 147906163   56213    0    0    0     0       0          0
lxcd0852c52389b:  878659    1591    0    0    0     0          0         0  1030869    1774    0    0    0     0       0          0
lxca57fa0cb7f7c:  360426    2724    0    0    0     0          0         0  6513718    2464    0    0    0     0       0          0
lxcbab49d061a92:  606342    2208    0    0    0     0          0         0   461293    2406    0    0    0     0       0          0
lxc1bd6e25c52d0: 5633174   29501    0    0    0     0          0         0  3864638   32857    0    0    0     0       0          0
lxce99377ab1174:   48344     322    0    0    0     0          0         0    53048     365    0    0    0     0       0          0
lxcca712e683cde: 1460082   10428    0    0    0     0          0         0  1477650   10567    0    0    0     0       0          0
lxcf360eb8b4159: 7040970   10426    0    0    0     0          0         0  6057374   10726    0    0    0     0       0          0

=== node 192.168.2.64 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
