=== node 192.168.2.61 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
lxca2c4ff8154a8: 4872534868 12604792    0    0    0     0          0         0 3244659764 10865783    0    0    0     0       0          0
lxc881b92531812: 85362862866 60345312    0    0    0     0          0         0 58885994735 73603712    0    0    0     0       0          0
lxc16f46d3fad10: 4585782166 19956347    0    0    0     0          0         0 2678672032 20230112    0    0    0     0       0          0
lxc686ab1243e6a: 479489321 5166591    0    0    0     0          0         0 5439057544 4727272    0    0    0     0       0          0
lxc910a81d15ab9: 182580557 1902097    0    0    0     0          0         0 181797567 2069082    0    0    0     0       0          0
lxc8954be441701: 36279031467 213746718    0    0    0     0          0         0 265962845981 212823728    0    0    0     0       0          0
lxca2e9b6bc95e9: 4697098517 21558855    0    0    0     0          0         0 24738077345 20073656    0    0    0     0       0          0
 br-vm:       0       0    0    0    0     0          0         0     6348      62    0    4    0     0       0          0
enp0s31f6.100:       0       0    0    0    0     0          0         0    11654     103    0   20    0     0       0          0
lxc31ef56664320: 357117627 2269906    0    0    0     0          0         0 4605940379 2107331    0    0    0     0       0          0
cilium_wg0: 537878814032 726278075    0    0    0     0          0         0 361137377304 623870837  481    4    0     0       0          0
br-vm.110:       0       0    0    0    0     0          0         0     4514      47    0    0    0     0       0          0
enp033c3e1.110:       0       0    0    0    0     0          0         0     5096      44    0    0    0     0       0          0
enp0s31f6.110: 53020906005 33830045    0    0    0     0          0         0 120639987467 16051757    0 36958    0     0       0          0
br-vm.110.110:       0       0    0    0    0     0          0         0     3152      28    0    0    0     0       0          0
enp04a9f84.110:       0       0    0    0    0     0          0         0        0       0    0   46    0     0       0          0
enp0b8c22a.110:       0       0    0    0    0     0          0         0     4136      36    0    0    0     0       0          0
br-vc5fd6e.110:       0       0    0    0    0     0          0         0     2322      21    0    0    0     0       0          0
br-v672303.110:       0       0    0    0    0     0          0         0     1520      14    0    0    0     0       0          0
enp0941668.110:       0       0    0    0    0     0          0         0     3274      29    0    0    0     0       0          0
enp0b8058c.110:       0       0    0    0    0     0          0         0        0       0    0   38    0     0       0          0
br-v4cf47d.110:       0       0    0    0    0     0          0         0      746       7    0    0    0     0       0          0
enp0090087.110:       0       0    0    0    0     0          0         0     2440      22    0    0    0     0       0          0
enp0676809.110:       0       0    0    0    0     0          0         0        0       0    0   31    0     0       0          0
enp0acb4c9.110:       0       0    0    0    0     0          0         0     1634      15    0    0    0     0       0          0
enp0160fe7.110:       0       0    0    0    0     0          0         0      856       8    0    0    0     0       0          0
enp050cb42.110:       0       0    0    0    0     0          0         0        0       0    0   24    0     0       0          0
enp06ac1c8.110:       0       0    0    0    0     0          0         0        0       0    0   16    0     0       0          0
enp0e7e967.110:       0       0    0    0    0     0          0         0        0       0    0    7    0     0       0          0
lxc2595ed865bc8: 6276912832 54883786    0    0    0     0          0         0 146948998581 53049432    0    0    0     0       0          0
lxc0da4d8f069d6: 439342153 1465370    0    0    0     0          0         0 647538036 1665061    0    0    0     0       0          0
lxc71f84be3a83d: 3076121001 17342608    0    0    0     0          0         0 2003548437 9698110    0    0    0     0       0          0
lxc91f48f213115: 9024937965 1993219    0    0    0     0          0         0 596588236 2665095    0    0    0     0       0          0
lxcb8c0dd9f1e12: 14761410  146768    0    0    0     0          0         0 14261758  160959    0    0    0     0       0          0
lxcb2fc2ce7d1a8: 19720012  173688    0    0    0     0          0         0 20493990  229544    0    0    0     0       0          0
lxc_health:  153666    2054    0    0    0     0          0         0   184574    2418    0    0    0     0       0          0
lxca285ed5b800b:  352342    4805    0    0    0     0          0         0     5030     109    0    0    0     0       0          0
lxced5c4c8eddb6: 2995710   35004    0    0    0     0          0         0 103646514   39817    0    0    0     0       0          0
=== node 192.168.2.65 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 11641376058 31617284    0    0    0     0          0         0 11641376058 31617284    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s31f6: 1161987641293 1173883485    0 4687828    0     0          0   4546011 1379577817145 1367944804    0  458    0     0       0          0
cilium_net: 9441614  139254    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_host:     440       4    0    0    0     0          0         0  9441614  139254    0    0    0     0       0          0
cilium_vxlan: 588222916796 483309548    0    0    0     0          0         0 1145028512328 333201879    0    0    0     0       0          0
lxca18accc24509: 5197616663 12734404    0    0    0     0          0         0 3244687972 10957839    0    0    0     0       0          0
lxc0c54b35e4a6c: 1160205878 2240925    0    0    0     0          0         0 250943376 2151004    0    0    0     0       0          0
lxc355b1a2b1141: 492132161212 20857916    0    0    0     0          0         0 6138919702 82500332    0    0    0     0       0          0
lxc1f2460811cd0: 386300435 4447637    0    0    0     0          0         0 2368400198 5464947    0    0    0     0       0          0
lxccd12c7c9b842: 3281276008 11351117    0    0    0     0          0         0 6812115654 12749273    0    0    0     0       0          0
